Plot;Stick;Clone;Diameter;Height
LB2;1r;Red;1,7;284
LB2;1r;Red;1,4;197
LB2;1r;Red;0,7;96
LB2;2r;Red;1,25;198
LB2;2r;Red;0,8;106
LB2;3r;Red;1,7;285
LB2;3r;Red;2,35;640
LB2;3r;Red;0,8;143
LB2;3r;Red;1,05;161
LB2;4r;Red;2,85;293
LB2;5r;Red;1;147
LB2;5r;Red;0,5;33
LB2;5r;Red;1,2;105
LB2;5r;Red;1;147
LB2;6r;Red;<0.5;40
LB2;6r;Red;<0.5;43
LB2;6r;Red;<0.5;4
LB2;6r;Red;<0.5;16
LB2;6r;Red;1,2;191
LB2;6r;Red;0,9;161
LB2;1b;Blue;1;149
LB2;1b;Blue;0,7;127
LB2;1b;Blue;1;161
LB2;2b;Blue;1,2;174
LB2;2b;Blue;1,95;290
LB2;3b;Blue;<0.5;11
LB2;3b;Blue;1,4;240
LB2;3b;Blue;1,9;318
LB2;3b;Blue;1,7;304
LB2;4b;Blue;0,5;59
LB2;4b;Blue;0,65;88
LB2;4b;Blue;0,9;151
LB2;4b;Blue;<0.5;9
LB2;4b;Blue;2,1;311
LB2;5b;Blue;2,3;286
LB2;5b;Blue;1,6;240
LB2;6b;Blue;1,8;236
LB2;1y;Yellow;1,35;136
LB2;2y;Yellow;<0.5;46
LB2;2y;Yellow;1;187
LB2;2y;Yellow;1,3;240
LB2;3y;Yellow;1,3;226
LB2;3y;Yellow;2,45;304
LB2;3y;Yellow;2,15;297
LB2;4y;Yellow;2,3;220
LB2;5y;Yellow;3,05;234
LB2;6y;Yellow;<0.5;75
LB2;6y;Yellow;<0.5;26
LB2;6y;Yellow;0,5;75
LB2;6y;Yellow;1;172
LB2;6y;Yellow;0,5;80
LB2;6y;Yellow;<0.5;34
